Year,Gender,Award,HigherSAT,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Piercings
Sophomore,F,Nobel,Math,65,136,3,1,710,760,1470,3.5,2
Sophomore,F,Nobel,Verbal,65,104,2,2,710,680,1390,3.55,6
FirstYear,F,Olympic,Math,67,122,3,4,560,640,1200,3.2,2
Sophomore,M,Nobel,Math,72,192,1,1,600,630,1230,2.47,0
FirstYear,M,Olympic,Math,71,218,1,2,540,560,1100,2.72,0
Sophomore,M,Nobel,Math,68,170,4,5,600,640,1240,3.4,0
Sophomore,F,Academy,Math,64,150,1,1,550,560,1110,3.4,5
Senior,M,Olympic,Verbal,71,135,4,3,550,550,1100,3.1,0
Senior,F,Nobel,Math,62,155,1,1,620,660,1280,3.1,2
Sophomore,F,Olympic,Math,65,135,1,1,550,650,1200,2.94,3
Sophomore,M,Olympic,Math,68,140,1,2,570,580,1150,3,0
