,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
27870,26,Federal-gov,171928,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,50,Japan,<=50K
14069,65,?,79272,Some-college,10,Widowed,?,Not-in-family,Asian-Pac-Islander,Female,0,0,6,United-States,<=50K
24740,59,Private,366618,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
29086,51,Private,82578,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,Canada,>50K
31880,31,Private,204752,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
2068,60,Private,93997,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,>50K
9013,25,Private,222254,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
15760,22,Self-emp-not-inc,269474,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
13885,36,Private,89202,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,<=50K
24985,42,Private,76487,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
23573,56,Private,155657,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,20,Yugoslavia,<=50K
10093,61,?,198542,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
4483,27,Private,248402,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K
16687,22,Private,103277,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
9809,37,Private,305597,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
26356,59,Private,77884,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
7320,58,Private,519006,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,<=50K
19472,43,Private,131899,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
10861,41,Private,155106,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
8616,68,Self-emp-not-inc,450580,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K
8794,45,Private,214068,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
1161,39,Self-emp-not-inc,331481,Bachelors,13,Divorced,Craft-repair,Not-in-family,Black,Male,0,1669,60,?,<=50K
16790,28,Private,383322,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
4976,43,Private,191547,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
848,45,Private,102771,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States,>50K
7029,34,Private,56883,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
31647,21,Private,253583,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
9559,44,Private,45093,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K
4960,43,Private,102895,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
20305,44,Self-emp-inc,116358,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,50,?,>50K
3347,53,Private,133219,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,4386,0,30,United-States,>50K
26519,21,Private,89991,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
26729,29,Private,174419,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
17484,26,Private,147821,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,45,?,<=50K
10795,39,Private,125550,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
16752,24,Federal-gov,127185,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
3565,33,Private,60567,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,0,40,United-States,<=50K
1957,59,Private,165922,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
30504,66,Self-emp-inc,76212,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
9501,33,Private,382764,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
24895,20,Private,205975,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
25836,73,?,135601,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,<=50K
27916,57,Self-emp-not-inc,135134,Masters,14,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,<=50K
27341,54,Private,189607,Bachelors,13,Never-married,Other-service,Own-child,Black,Female,0,0,36,United-States,<=50K
26391,33,Private,82393,HS-grad,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
23974,54,Private,188186,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,20,Hungary,<=50K
22654,53,Local-gov,86600,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
29411,18,Private,20057,7th-8th,4,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
31587,18,Private,170544,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
23594,38,Local-gov,40955,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
16346,60,Self-emp-inc,123218,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
19827,32,Private,222654,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
32536,54,Private,337992,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,Japan,>50K
23534,29,Private,385092,Some-college,10,Divorced,Prof-specialty,Own-child,White,Female,0,0,36,United-States,<=50K
23095,23,Private,312017,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
7087,50,Self-emp-not-inc,391016,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K
30161,61,Private,141745,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
13665,30,Private,285295,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
5709,35,Private,30381,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
11107,62,?,73091,7th-8th,4,Widowed,?,Not-in-family,Black,Male,0,0,40,United-States,<=50K
31038,50,Private,234657,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
619,50,State-gov,289207,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,45,United-States,>50K
11314,39,Local-gov,229651,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
27486,31,Private,227446,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Cuba,>50K
198,27,Local-gov,92431,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,>50K
20394,26,Private,155752,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
1411,27,Private,112754,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,60,United-States,>50K
20455,45,Private,183092,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
15972,51,?,157327,5th-6th,3,Married-civ-spouse,?,Husband,Black,Male,0,0,8,United-States,<=50K
14902,32,Private,226535,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
19570,27,Local-gov,206125,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
13828,61,?,232618,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
19359,20,Private,199011,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K
8298,27,Private,587310,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,0,0,35,Guatemala,<=50K
28223,38,?,155676,HS-grad,9,Divorced,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
13070,42,Private,156580,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,Puerto-Rico,<=50K
6483,31,State-gov,116677,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
23953,42,Private,214503,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
7767,37,Private,243425,HS-grad,9,Divorced,Other-service,Other-relative,White,Female,0,0,50,Peru,<=50K
14419,50,Private,177487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
10194,18,?,202516,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K
23670,42,Private,150568,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,45,United-States,<=50K
7291,81,Self-emp-not-inc,137018,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,<=50K
27281,37,Private,34173,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
13628,30,Private,196385,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
12334,20,Private,120572,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,12,United-States,<=50K
20556,54,Private,143804,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
26572,42,Private,220776,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,40,Poland,<=50K
4341,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
15589,35,State-gov,89040,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29410,46,Private,268022,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,?,>50K
29224,42,Private,126003,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
2554,54,Private,185407,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
4075,34,Private,245211,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,2036,0,30,United-States,<=50K
8190,32,Local-gov,168387,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
11341,31,Private,48189,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
21005,23,State-gov,309055,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
8759,21,Private,209483,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
3022,42,Private,94600,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
5112,48,Private,107373,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
873,43,State-gov,24763,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,45,United-States,>50K
6886,27,Private,229803,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
4746,57,Self-emp-inc,103948,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,<=50K
18097,32,Private,119124,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
30313,20,Private,37783,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
21143,24,Private,235722,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
4735,36,Self-emp-not-inc,28738,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
20825,53,Local-gov,231196,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
4720,28,Private,114053,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,<=50K
29478,44,Local-gov,357814,12th,8,Married-civ-spouse,Other-service,Other-relative,White,Female,0,0,35,Mexico,<=50K
12760,30,Local-gov,348802,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
24318,53,Self-emp-inc,110445,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
26935,17,Self-emp-not-inc,174120,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,<=50K
12369,62,Private,162825,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
6951,56,Federal-gov,130454,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28240,55,Self-emp-not-inc,26683,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
7923,36,Private,99270,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
28587,20,Private,250165,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
17668,20,Private,451996,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
11186,40,Self-emp-not-inc,403550,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
8768,18,Private,181712,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K
